O:C,H:C,ScINT
0.083333333,1.138888889,272300.8652
0.44,1.84,259813.1822
0.259259259,1.555555556,201190.4482
0.346153846,1.846153846,199802.9279
0.666666667,2.444444444,133548.832
0.027027027,1.162162162,101982.7444
1.5,1.5,1189697
1.888888889,0.777777778,804688.7142
1.5,0.9,371192.2858
0.08,1.68,698974.4323
0.125,1.958333333,476033.5677
0.827586207,0.103448276,401675.1738
1.526315789,0.526315789,397960.2589
0.75,0.333333333,362668.5673
0.620689655,0.379310345,167866.3269
0.25,0.15,159737.2069
0.307692308,0.307692308,153640.367
1.444444444,0.888888889,146120.931
0.08,0.14,135959.5311
1.388888889,1.333333333,126814.2712
0.533333333,0.433333333,113807.6792
0.195121951,0.195121951,97752.66735
0.678571429,0.571428571,94501.01937
3.4,1.4,639881.2199
2.5,1.5,532934.7801
1,0.666666667,358768.4904
0.333333333,0.285714286,324234.625
0.227272727,0.363636364,291619.3077
1.181818182,1.181818182,222551.5769
0,0.833333333,269232.2803
0.258064516,1.290322581,243543.4506
0.1875,1.3125,199505.4568
0.121212121,1.090909091,186494.2314
0.545454545,1.863636364,149462.282
0.375,1.583333333,137118.2989
3.5,2.5,1386129
0.324324324,2.108108108,301775.0152
0.1,1.975,267441.3309
0.06122449,1.367346939,254792.0787
0.023809524,1.80952381,227234.7794
0.048780488,1.975609756,165343.7958
0,2,1144037
1.75,0.875,284192.915
1.529411765,0.470588235,263599.2255
0.740740741,0.333333333,261883.0847
1.333333333,0.555555556,197012.9628
0.642857143,0.392857143,156168.812
0.235294118,0.205882353,209265.023
0.695652174,0.52173913,183907.3275
0.583333333,0.583333333,156500.5252
0.52,0.36,154195.2801
0.48,0.32,139851.5331
0.171428571,0.257142857,126276.2012
1.428571429,0.928571429,111676.3158
1.0625,0.625,108858.7941
0.6,1.7,660826.4905
0.04,1.28,497142.5095
0.55,1.75,425091.407
0.083333333,1.291666667,419207.7889
0,1.32,326540.804
0.19047619,1.666666667,594731.5331
0.034482759,1.344827586,360761.7663
0.090909091,1.681818182,228365.7006
0.285714286,1.357142857,1168475
0.24,1.52,1172935
0.130434783,1.826086957,835217.8951
0.041666667,1.833333333,356228.1049
0,2.04,1174211
4.333333333,1.333333333,2056296
3,4.666666667,664765.6019
0.153846154,1.076923077,495757.3981
0.019230769,1.615384615,740786.8421
0.039215686,1.745098039,448863.1579
0,0.162790698,162464.3201
1.909090909,2.181818182,157148.0793
0.25,0.375,156510.1304
0.607142857,0.571428571,142687.9042
0.047619048,0.30952381,120572.3423
0.590909091,0.863636364,119509.0941
0.181818182,0.424242424,116744.6489
0.023809524,0.285714286,96968.23297
1.583333333,2.166666667,88462.24762
0.114285714,1.057142857,307771.9562
0.904761905,1.904761905,293046.0253
0.307692308,1.461538462,264575.8922
0,0.891891892,166893.8837
0.147058824,1.235294118,133024.2426
0.52,1.76,266183.7074
0.138888889,1.083333333,227957.0616
0.171428571,1.257142857,199199.4016
0.333333333,1.481481481,167636.1161
0.423076923,1.769230769,156764.3178
0.583333333,2.041666667,154309.3956
0.4,2.3,985559.1296
0.181818182,2.272727273,325493.8704
0.259259259,1.592592593,262629.2592
0.114285714,1.342857143,260939.2383
0.5,2.166666667,225110.7936
0.068181818,0.795454545,196042.4329
0.307692308,1.846153846,167650.0805
0.178571429,1.607142857,96331.19547
0.176470588,1.382352941,861631.8435
0.055555556,1.194444444,436022.1565
0.090909091,1.515151515,495288.266
0.413793103,1.862068966,429453.9679
0.029411765,1.529411765,292426.766
0.407407407,1.962962963,567472.9614
0.321428571,1.964285714,340045.0091
0.051282051,1.076923077,303481.0296
0.2,2.2,747291.69
0.0625,1.9375,434908.31
0,0.761904762,1227244
0.6,0.4,487341.8731
1.666666667,0.666666667,395598.2976
1.047619048,0.619047619,273762.8293
0.913043478,0.130434783,765549.322
0.407407407,0.222222222,414748.678
0.170731707,0.268292683,281067.4532
0.36,0.84,220248.2354
1,1.15,210505.351
0.119047619,0.30952381,145848.0272
0.34375,0.375,143486.1158
0.027777778,0.444444444,136400.3817
0.857142857,1.19047619,121638.4356
0.470588235,1.294117647,525636.7568
0,0.607142857,443308.1081
0.037037037,0.814814815,202655.1351
0.533333333,0.4,1242839
0.133333333,2.2,757159.5205
0,2.1875,397360.4795
0,0.444444444,103787.3338
0.954545455,1.863636364,102283.1695
0.393939394,1.090909091,94637.0012
0.186046512,0.674418605,93258.18397
0.46875,1.3125,91879.36673
0.6,1.5,91252.63163
0.037735849,0.566037736,85110.62757
0.435897436,0.846153846,84107.8514
